Text,Language
"Kluges Wort Nummer 5 ist erstaunlich, erstaunlich, erstaunlich, bedeutet erstaunlich erstaunlich.",German
"Jetzt verwenden wir hier oft das Wort ""fantastisch"".",German
"s ein anderes Wort, das Sie anstelle von fantastisch erstaunlich verwenden können, zum Beispiel heute habe ich eine erstaunliche Punktzahl auf meinem Test, was bedeutet, dass ich eine sehr hohe Punktzahl oder habe.",German
Ich habe eine nahezu perfekte Punktzahl erhalten.,German
"Das Wort stupendous hat klassische lateinische Wurzeln aus dem Wort, was bedeutet.",German
"so verblüfft zu sein, wird verwendet, um etwas zu beschreiben, das erstaunlich gut ist, zum Beispiel, dass sie in diesem Kleid verblüffend aussieht oder was für eine erstaunliche Aussicht von diesem Balkon oder ich lese dieses erstaunliche Buch, das ich nicht aufschreiben kann, wie es mit dir geht und sagen.",German
"Ihre Freunde, das ist dieser großartige Kanal für Studenten, und einige andere Wörter, die Sie anstelle von großartig verwenden können, sind unglaublich fantastisch oder außergewöhnlich gut.",German
"Bevor wir mit den ausgewogenen fünf Wörtern in diesem Video fortfahren, denken Sie daran, einen Kommentar unter dieses Video zu setzen.",German
"Mir zu sagen, welches dieser zehn Wörter Ihr Lieblings-Smart-Wort Nummer sechs war, bedeutet, in einer schwierigen Situation zu sein.",German
"Zum Beispiel, Junge, ich bin in einer schwierigen Situation, weil ich mit zwei verschiedenen Freunden Pläne dafür gemacht habe Abend.",German
Ich habe mein Telefon verloren und bin in einer Verlegenheit oder unser Bus ist heute Morgen kaputt gegangen und ich bin in einer Verlegenheit.,German
"Mein Freund bittet mich immer um Hilfe, wenn er in einer Verlegenheit ist und wenn es gut läuft, vergisst er es.",German
"Wenn Sie zum Beispiel das nächste Mal Mathe-Hausaufgaben von der Schule bekommen und wenn Sie Ihr Mathebuch in der Schule gelassen haben, können Sie Ihren Freunden sagen, dass Sie sich in einer echten Verlegenheit befinden mit etwas reparieren.",German
"Aber nein in einem Fix bedeutet, in einer schwierigen Situation zu sein.",German
"Andere Wörter, die Sie anstelle eines Fixes verwenden können, sind, dass ich in einer Suppe bin oder ich.",German
"Ich bin in einem Chaos oder ich bin in einem Punkt der Mühe oder nur ich bin in einem Punkt Smart Word Nummer 7 ist Flummox Flummox bedeutet, jemanden zu verwirren.",German
"So sehr, dass sie vergessen, was jetzt verwirrt zu tun ist, ist dies meistens ein überstrapaziertes Wort.",German
Warum verwenden Sie stattdessen nicht Flummox?,German
"Der Junge sah völlig verblüfft aus, als der Lehrer ihm im Unterricht eine Frage stellte oder der Hund flummoxte bei seinem eigenen Spiegelbild oder dem Touristen war der Tourist von den unterschiedlichen Bräuchen überwältigt, die.",German
"Er begegnete ihm auf seinen Reisen oder in einem Interview, als sie gefragt wurde, warum wir Sie einstellen sollten.",German
"Sie sah beim nächsten Mal völlig verblüfft aus, wenn Sie bei Fragen, zum Beispiel bei einer Prüfung, verwirrt sind, dann Sie.",German
"kann das immer sagen, weil ich es nicht hatte Ich habe mich sehr gut auf die Prüfung vorbereitet.",German
"Einige der Fragen, die Sie anstelle von Flummox verwenden können, haben mich verwirrt.",German
"Sie sind verwirrt, verwirrt oder verwirrt.",German
Das achte Wort Nummer acht ist Rendezvous Rendezvous Rendezvous.,German
"ist eine sehr französische Art zu sagen, Treffen oder Datum zum Beispiel Ich habe ein Rendezvous mit meinen Freunden beim Mittagessen am Samstag oder ich plane ein Rendezvous mit meinen Freunden im Einkaufszentrum für Filme Rendezvous kann sowohl als Substantiv als auch als Verb verwendet werden beispielsweise.",German
Ich habe heute Abend ein Rendezvous mit meinen Freunden oder ich werde mich morgen mit meinen Freunden treffen.,German
"In Frankreich wurde früheres Rendezvous von der Armee verwendet, um einen Treffpunkt für die Truppen anzugeben.",German
"Jetzt ist das Wort Rendezvous auch jetzt noch etwas Aufregendes und Geheimnisvolles, sodass Sie Rendezvous für jedes Treffen verwenden können.",German
"im Allgemeinen aber es hat gewonnen ' Wenn Sie ein Datum haben, können Sie sicher sagen, dass ein Rendezvous-Smart-Wort Nummer 9 stumpf ist.",German
"stumpf stumpf ist eine Beleidigung, die Sie verwenden würden, wenn Sie versuchen, jemanden dumm oder unintelligen anzurufen oder düster, jetzt haben Sie das Wort stumpf in der Geometrie stumpfen Winkels und spitzen Winkels gehört, so dass ein stumpfer Winkel ein Winkel ist, der größer als 90 Grad, aber kleiner als 180 Grad ist.",German
"und ein spitzer Winkel ist dieser scharfe Winkel von weniger als 90 Grad, so spitz wie ein Wort verwendet wird, um scharf und daher auch geistig scharf und stumpf zu bezeichnen, bedeutet stumpf und daher auch ein wenig langsam im Kopf, so dass Beispielsätze mit stumpf sind der Mann war so stumpf, dass er sein Passwort an einen falschen Anrufer oder das stumpfe Kind weitergab.",German
konnte nicht.,German
"Um eine einzige Frage im Test zu beantworten, oder der stumpfe Mann hatte Schwierigkeiten, selbst grundlegende Anweisungen zu verstehen.",German
"Nehmen wir jetzt an, dass Ihr Freund oder Ihre Freundin in Ihrer täglichen Situation wütend auf Sie ist und Sie nicht wissen, warum Sie das können.",German
"Sagen Sie ihnen, vielleicht bin ich stumpf, aber ich weiß nicht, warum Sie so verärgert sind.",German
"Kluges Wort Nummer 10 ist träge träge träge bedeutet, sich langsam zu bewegen, um etwas langsamer zu sein.",German
als sonst ein bisschen müde und mangelhaft aussehen.,German
"Im Energiebeispiel macht mich ein schweres Mittagessen sehr nachmittags träge, hat Wurzeln aus dem Wort, was bedeutet, dass eine langsame Person und eine Schnecke ein Tier ist, das sich wirklich sehr langsam bewegt wie ein Schneckenbeispiel.",German
Die Wirtschaft war in diesem Jahr sehr schleppend oder das Spiel hat sich nach einem schleppenden Start erholt.,German
oder das Geschäft war in diesem Quartal schleppend.,German
"Sie können es in Ihrem täglichen Leben verwenden, wenn Sie sich eines Tages sehr müde fühlen, können Sie es Ihrer Mutter oder Sie können es sagen.",German
"Deine Freunde, ich fühle mich sehr träge.",German
"Heute könnte ich mit einem Energy-Drink andere Wörter gebrauchen, die Sie anstelle von trägen verwenden können.",German
"Sie könnten träge sein oder meine Füße ziehen, also waren das die 10 klugen Wörter und früher.",German
"Ich gebe Ihnen diesen geheimen Tipp, um sehr fließend zu klingen.",German
"Ich möchte Sie daran erinnern, dass ich in diesem Fall einen Link zu einem Video setze, wenn Sie nach intelligenten Wörtern suchen, die Sie für ein Telefonat verwenden können.",German
"unten im Beschreibungsfeld dafür und jetzt ist der geheime Tipp der geheime Tipp, fließend zu klingen, nicht mehr als ein kluges Wort oder einen Satz zu verwenden, den ich manchmal kenne.",German
"wir werden sehr aufgeregt, weil.",German
"wir' Ich habe eine ganze Menge dieser klugen Wörter gelernt und wir neigen dazu, zwei, drei, vier davon in einen Satz zu packen, der nicht natürlich klingt.",German
"Stellen Sie also nacheinander sicher, dass Sie das Wort richtig aussprechen.",German
Gehen Sie zu Google und geben Sie das Wort ein.,German
"Bei der Suche ganz oben sehen Sie ein kleines Sprechersymbol, das auf diesen Sprecher klickt.",German
und höre die Aussprache ein- oder zweimal.,German
"und du bist bereit zu gehen und wenn dir dieses Video gefallen hat, vergiss nicht, uns einen Daumen hoch mit einem Kommentar zu geben.",German
"für mich darunter, mir zu sagen, welches dieser 10 Wörter dein Favorit ist und auch.",German
"Wenn Sie noch nicht auf die Schaltfläche ""Abonnieren"" und das Glockensymbol direkt daneben geklickt haben, können Sie sich freuen.",German
"Hey Leute, willkommen auf meinem Kanal in diesem Video.",German
"Ich werde dir die 50 besten englischen Sätze geben, die du in deinem Alltag verwenden kannst.",German
"Also, wenn Sie gerade dabei sind, Ihre Reise anzutreten.",German
In einem englischsprachigen Land können Sie dies vollständig nutzen.,German
"Sätze, wenn Sie eine Weile Englisch gelernt haben und das Lernen wieder aufnehmen möchten.",German
Dies ist das beste Video für den Anfang.,German
Lassen Sie uns also in hoffentlich 10 Minuten 50 Sätze auf Englisch schreiben.,German
Satz Nummer eins Dies ist eine andere Art zu fragen.,German
wie gehts?,German
Wie gehts?,German
wie geht's?.,German
"Also triffst du jemanden und hast Zeit, wie es läuft?",German
"Satz Nummer zwei, wenn Sie jemanden eine Weile nicht gesehen haben, sagen Sie ihm, dass Sie diese Person lange Zeit nicht gesehen haben.",German
"Das bedeutet, dass Sie diese Person vielleicht Wochen oder Monate lang nicht gesehen haben.",German
"drei, wenn Sie fragen möchten, was Sie getan haben.",German
"Sie fragen, was haben Sie so gemacht, was war in Ihrem Leben los?",German
"Was hast du gemacht, um sie zu erziehen, wenn alles läuft?",German
"Nun, Sie können einfach antworten, können sich nicht beschweren.",German
Alles ist wirklich cool.,German
Ich kann mich nicht über den nächsten Satz beschweren.,German
"Jemand sagt Ihnen etwas und Sie haben es im Gespräch nicht wirklich erwähnt, als würden sie irgendwie vermuten, dass Sie einen neuen Job haben, und Sie fragen ihn.",German
woher weißt du das?.,German
"Woher hast du die Nachrichten, wie geht es dir?",German
"Wenn jemand einen coolen Witz erzählt, kann man sagen, dass das ein guter ist.",German
"Das ist ein großartiger Witz, also ist der Satz, dass er gut ist.",German
"Wenn du jemandem danken willst, kannst du sagen, dass es sehr nett von dir ist.",German
"Vielen Dank dafür, dass das sehr nett von dir ist.",German
"Es ist sehr nett von dir, wenn jemand.",German
"Ich habe versucht, Ihnen zu helfen, konnte aber das Ergebnis nicht erreichen, das Sie sagen können.",German
"Trotzdem danke, es spielt keine Rolle, aber trotzdem danke.",German
vielen Dank für Ihre Mühen.,German
"Nein, trotzdem danke und ein anderer Satz, den ich manchmal in meiner E-Mail verwende, wenn ich nicht nach einer Person gefragt habe.",German
Ich frage und dann sage ich am Ende.,German
"Vielen Dank im Voraus, was bedeutet, dass ich wirklich hoffe, dass Sie werden.",German
Mach es ein paar Dankeschöns im Voraus.,German
"Vielen Dank im Voraus, wenn jemand einen Fehler gemacht hat, und er ist wirklich verärgert darüber.",German
Sie können einfach keine Sorgen sagen.,German
"Mach dir keine Sorgen, keine Sorgen, das heißt, mach dir keine Sorgen.",German
Das ist gut.,German
"Keine Sorge, stellen Sie sich vor, Sie sind nach Hause gekommen und alle Ihre Freunde sitzen auf Ihrer Couch.",German
und du bist wie was hier drin los ist wie was machst du hier?.,German
"Was ist los, wenn du etwas nicht gefangen hast oder die Person, die du immer fragen kannst, nicht verstanden hast?",German
Habe ich dich richtig verstanden?,German
"und dann mach weiter und erkläre, wo du hingekommen bist.",German
Habe ich dich richtig verstanden?,German
"Wenn Sie jemanden bitten, nicht verärgert zu sein, nicht zu weinen, können Sie sagen, nehmen Sie es sich nicht zu Herzen.",German
"Nimm es dir nicht zu Herzen wie ernst Sei nicht so verärgert, nimm es dir nicht zu Herzen.",German
"Eine andere Möglichkeit zu fragen, ob Sie einen Teil einer Phrase nicht verstanden haben, können Sie sagen, dass ich das letzte Wort nicht verstanden habe.",German
Es tut mir Leid.,German
"Kannst du es wiederholen, weil ich das letzte Wort nicht verstanden habe, wenn er möchte, dass jemand die ganze Phrase noch einmal wiederholt?",German
du kannst dich entschuldigen.,German
"Ich habe nicht zugehört, weil du vielleicht beschäftigt warst.",German
"Vielleicht haben Sie telefoniert und jemand hat mit Ihnen gesprochen, und Sie sind wie.",German
Ach du lieber Gott.,German
"Entschuldigung, ich habe nicht zugehört.",German
Kannst du das wiederholen?.,German
Es tut mir Leid.,German
"Ich habe keinen anderen Satz gehört, den ich die ganze Zeit benutze.",German
"Es spielt keine Rolle, keine Sorge, wenn Sie Ihren Kaffee über mich fallen lassen.",German
"Es ist, als wäre es egal.",German
Ich werde in Ordnung sein.,German
ich' Ich gehe sowieso zur Wäsche.,German
"Es spielt keine Rolle, ob Sie jemandem Glück wünschen möchten.",German
und ich mache immer das man sagen kann Daumen drücken und man drückt die Finger so.,German
Daumen drücken.,German
"Ein anderer Satz, den Amerikaner verwenden, ist oh schlecht, der es erklärt und.",German
"Die Situation ist, dass Sie etwas nicht bekommen haben und dann einen zusätzlichen Effekt bekommen, und Sie bekommen es.",German
und du bist wie oh das erklärt es das erklärt es.,German
"Eine andere Möglichkeit, der Person zu sagen, dass sie nicht verärgert sein soll, besteht darin, zu sagen, dass Dinge passieren, als ob es in Ordnung wäre.",German
"Dinge passieren, sei nicht verärgert, wenn du nicht den Namen einer Person hast, mit der du sprechen möchtest.",German
"Sie können sich entschuldigen, um Sie zu stören, von denen Sie wissen, dass Sie sie sehen.",German
"Wenn jemand beschäftigt ist, können Sie sich immer entschuldigen, um Sie zu stören, und dann können Sie weitermachen und fragen.",German
"Es tut mir leid, Sie zu stören.",German
Wenn Sie mitten in etwas in jemandem sind. ',German
"Ich frage dich etwas, was du sagen kannst.",German
"Du bist mitten in etwas und jemand bittet dich, etwas zu tun, was du sagst.",German
Es tut mir leid.,German
Ich bin in einer Minute bei dir.,German
Ich bin bei dir.,German
"Dann machst du wieder etwas und sagst, wo wir waren.",German
"Zum Beispiel, wann haben wir aufgehört, wo wir waren, und Sie müssen es wiederholen, denn mit welchem ​​Geräusch verwechseln sich manche Leute?",German
"Das ist also eine großartige Möglichkeit zu üben, wo wir wieder waren, wenn Sie mitten in einem Gespräch sind.",German
"und du hast nicht verstanden, was die andere Person gesagt hat, du kannst sagen, dass du gesagt hast und mit einem Fragezeichen.",German
"was bedeutet, was die Person auffordert, noch einmal zu wiederholen?",German
du hast gesagt.,German
"Wenn jemand einen Job in seinen Träumen von dem bekommen hat, was Sie als Glückspilz bezeichnen können, oder wenn jemand in die Universität seiner Träume gekommen ist, als Glückspilz, dann ist dies eine Möglichkeit, der Person zu gratulieren, die Glück hat, oder einfach nur zu betonen, dass sie Glück hat, Glück zu haben, eine andere Art zu sagen Dass du wirklich wütend bist, heißt, ich bin ausgeflippt, als wäre ich so wütend, dass ich ausgeflippt bin.",German
Das ist super wütend.,German
"Oh, das ist fast verrückt.",German
"Ich habe einen anderen Satz ausgeflippt, den Muttersprachler verwenden, der gut für Sie ist.",German
"Dies kann sowohl positiv als auch negativ sein, wenn Sie sagen, dass ich befördert wurde und wenn sie gut für Sie sagen, wie Glückwünsche und manchmal, wenn Sie sagen, dass ich diesen Ort verlasse.",German
Sie sind gut für dich.,German
Ohne dich wäre es besser.,German
Dies ist eine negative Bedeutung.,German
Höre also wirklich auf die Intonation.,German
"Wenn dich etwas überrascht, kannst du auch sagen, dass du mich veräppeln musst wie oh mein Gott.",German
"Ich kann es nicht glauben, dass du mich veräppeln musst, jemandem zu sagen, er solle lächeln und glücklich sein.",German
"Wenn du willst, dass jemand nur so klingt, als würde er weinen und sich über etwas beschweren, das nicht passiert, kannst du sagen, komm, ich kann es tun, ich?",German
Komm schon.,German
"Sie können es tun, Sie können das Toefl passieren.",German
Sie können das Gmat passieren.,German
Sie werden es bekommen.,German
"Sie können es tun, wenn es jemandem wirklich gut geht.",German
"Sie können ihm sagen, dass er die gute Arbeit fortsetzt.",German
"Machen Sie weiter so, wie Sie sind, und machen Sie die gute Arbeit weiter.",German
"Ein anderer Satz ist umgangssprachlich, und das ist es, was Amerikaner tun sagen.",German
"Das ist beleuchtet, was bedeutet, dass es erstaunlich ist, was viele Amerikaner in Kalifornien gesagt haben.",German
"Oh, das ist beleuchtet und du hast es wahrscheinlich in Songs gehört, die ' Wenn jemand nach Fehlern erfolgreich ist, können Sie sagen, dass Sie es schaffen.",German
"Ich habe Ihnen gesagt, dass Sie es schaffen werden, wenn jemand Sie fragt, ob Sie müde sind und Sie sagen möchten, dass Sie überhaupt nicht müde sind kann nicht ein bisschen nah sagen.",German
"Ich möchte weitermachen Ich bin nicht müde, nicht davon, wenn jemand Sie fragt, sind Sie sicher und Sie sind sich ziemlich sicher, dass Sie sagen können, dass dafür kein Platz ist?",German
"In Amerika gibt es keinen Zweifel, ob Sie jemandem eine SMS senden oder ihm eine Nachricht senden möchten, die Sie Text zu Text sagen, damit ich Ihnen eine SMS über WhatsApp oder ein Telegramm oder einen Messenger senden kann Schreiben Sie noch einmal eine SMS, um jemanden aufzumuntern und ihm zu sagen, dass er nicht verärgert sein soll.",German
"Sie können sagen, dass es sich nicht lohnt, warum weinen Sie?",German
Es lohnt sich nicht.,German
"du bist so viel besser als das Problem, über das du weinst ' Es ist deine Tränen nicht wert.",German
Es lohnt sich nicht.,German
"Ich persönlich liebe den Satz, den du rockst, was bedeutet, dass du unglaublich bist.",German
Ach du lieber Gott.,German
du rockst du rockst?,German
"Nein, du hast einen tollen Job gemacht.",German
"Sie rocken, wenn jemand nicht wirklich gut arbeitet und Sie möchten, dass er härter arbeitet.",German
"Sie können sagen, Sie sollten eine Extrameile gehen, was bedeutet, dass Sie wie härter arbeiten Sie eine Extrameile gehen sollten.",German
"Eine andere Möglichkeit, genau das zu sagen, was Sie sagen können: Steigern Sie Ihr Spiel, indem Sie härter arbeiten, und verbessern Sie Ihr Spiel.",German
wenn jemand weint und es nicht will.,German
es sinkt du sagst reiß dich zusammen wie nimm dich buchstäblich und reiß dich zusammen hör auf zu arbeiten hör auf zu weinen reiß dich zusammen.,German
hey beruhige dich zusammen noch ein Satz das.,German
"Ich liebe dich, du hast mich verkauft, weil manchmal Leute ihre Reise beschreiben oder jemanden, den sie gekauft haben, und sie beschreiben, dass es so gut ist.",German
"und sie sind so, als ob ich das gleiche kaufen möchte und ich sage ihnen, dass du es verkauft hast, dass du mich verkauft hast.",German
Ich würde das nicht in Ordnung kaufen.,German
"Du hast mich verkauft, wenn du nicht an dem Gespräch interessiert bist.",German
Du bist wie im Sitzen.,German
"Du kannst sagen, es ist mir egal, das ist so langweilig.",German
ich bin nicht interessiert.,German
"Es ist mir egal, ob dich jemand etwas fragt und das ist eine wirklich einfache Entscheidung für dich, so wie jemand dir sagt, dass du meine 1 Million Dollar nimmst und du sagst, das ist ein Kinderspiel.",German
Ich akzeptiere es.,German
"Dies ist ein Kinderspiel, was bedeutet, dass es eine wirklich einfache Entscheidung für Sie ist, wenn Sie etwas falsch gemacht haben und Sie zugeben, dass Sie sagen können, ich habe es vermasselt, ja Leute.",German
ich weiß.,German
Es tut mir Leid.,German
Ich habe es vermasselt.,German
das ist mein Fehler.,German
"Ich habe es vermasselt Ich habe es vermasselt, wenn du willst, dass jemand anstelle von mir arbeitet, kannst du sagen.",German
"Kannst du mich bedecken, wie kannst du anstelle von mir arbeiten, während ich?",German
Ich sehe meinen Freund.,German
"Kannst du mich abdecken, es ist Zeit zu gehen und Leute, ich sollte besser gehen, was bedeutet, dass ich schon gehen sollte.",German
du weißt es.,German
Es ist tatsächlich 1 9 Uhr.,German
jetzt sofort.,German
"Ich gehe besser einen anderen Weg, um mich zu verabschieden.",German
"Ich kann sagen, pass auf dich auf, was bedeutet, auf dich aufzupassen.",German
Wir sehen uns später.,German
Pass auf dich auf.,German
"Ich weiß nicht, an welchem ​​Tag Sie dieses Video sehen, aber wenn es Freitag ist, zum Beispiel am Wochenende.",German
"Sie können sagen, Gott sei Dank ist Freitag oder denken, Himmel sagte Samstag Wochenende Entdeckung.",German
"Ich bin so froh, dass es Jungs waren.",German
50 Sätze in Englisch.,German
"Lassen Sie mich wissen, ob dies hilfreich war, indem Sie dieses Video mögen und unten kommentieren, wenn Sie weitere coole Sätze kennen.",German
"das wäre toll, da drüben ist irgendwo ein roter Knopf.",German
Hallo und herzlich willkommen.,German
"In diesem Video werde ich Ihnen 100 allgemeine und sehr nützliche Sätze geben, die Sie im Gespräch verwenden können.",German
"Wenn Sie einen Satz üben hören, üben Sie ihn nach mir.",German
"versuche meine Aussprache genau zu kopieren, einschließlich des von mir verwendeten Tonfalls.",German
"Okay, lass uns anfangen.",German
Grundlegende Grüße wie geht es dir?,German
wie geht's?,German
Was geht?,German
"Freut mich, dich kennenzulernen.",German
lange nicht gesehen.,German
Wie ist es dir gegangen?,German
vielen Dank.,German
wie ist es mit Ihnen?,German
nicht viel.,German
das Übliche.,German
Ich muss loslegen.,German
"Es war eine Freude, Sie später zu sehen.",German
in Kontakt bleiben.,German
nach Informationen fragen.,German
"Kannst du mir sagen, was dieses Wort bedeutet?",German
"Würdest du zufällig wissen, wo sich die Bibliothek befindet?",German
zögernd.,German
Das ist eine gute Frage.,German
Lass mich sehen.,German
Lass mich einen Moment nachdenken.,German
nach einer Wiederholung fragen.,German
entschuldigen Sie mich?,German
"Entschuldigung, das habe ich nicht verstanden.",German
"Würde es dir etwas ausmachen, das zu wiederholen?",German
Kannst du etwas langsamer sprechen?,German
Bitte?,German
"sagen ""ich weiß nicht"".",German
"Ich fürchte, ich habe keine Ahnung.",German
"kann dir da nicht helfen, sorry.",German
schlägt mich. Meinungen.,German
was denkst du darüber?,German
Wie stehen Sie dazu?,German
"Ich denke, das ist eine gute Idee.",German
"Ich glaube ehrlich gesagt nicht, dass es funktionieren wird.",German
Für mich ist dies das beste Restaurant der Stadt.,German
eine Frage vermeiden.,German
Ich habe keine Meinung zu diesem Thema.,German
Lassen Sie mich darauf zurückkommen.,German
Es steht mir nicht frei zu sagen.,German
zustimmen und nicht zustimmen.,German
Ich könnte nicht mehr zustimmen.,German
Du hast absolut recht.,German
Ich stimme dir zu 100% zu.,German
Sie treffen den Nagel auf den Kopf.,German
"Ich bin mir nicht sicher, ob ich damit einverstanden bin.",German
"Ich fürchte, ich bin anderer Meinung.",German
"Ich denke, du liegst falsch.",German
höflich unterbrechen.,German
Entschuldigung dass ich dich unterbreche.,German
Kann ich dich dort für einen Moment aufhalten?,German
"Stört es dich, wenn ich hier rein springe?",German
gehen Sie geradeaus.,German
sicher weiter.,German
Lass mich fertig machen.,German
Warte einen Moment.,German
Vorschläge.,German
"Was sagst du, wir gehen ins Kino?",German
Wie wäre es heute Abend mit Pizza zum Abendessen?,German
das wäre toll klingt gut für mich. Da bin ich mir nicht sicher.,German
"Nein, das glaube ich nicht.",German
Pläne schmieden.,German
was machst du heute Nacht?,German
Hast du Pläne für morgen?,German
Bist du nächsten Samstag frei?,German
Willst du dieses Wochenende etwas unternehmen?,German
"Klar, was hast du vor?",German
"Ich bin das ganze Wochenende frei, lass uns etwas tun.",German
"Nein, sorry, ich habe schon einige Pläne verrückt gemacht.",German
Ich bin morgen ziemlich beschäftigt.,German
"Ich würde gerne etwas tun, aber ich kann nicht.",German
Genehmigung.,German
"Stört es Sie, wenn ich Ihr Handy benutze?",German
"Wäre es in Ordnung, wenn ich mir morgen den Tag frei nehmen würde?",German
"Ja, bitte machen Sie weiter.",German
Nein überhaupt nicht.,German
leider muss ich nein sagen.,German
"Ich möchte lieber, dass du es nicht tust.",German
"Ich fürchte, ich tue es.",German
Anfragen.,German
"Könntest du mir das Salz geben, Bitte?",German
"Würde es Ihnen etwas ausmachen, mir etwas Geld zu leihen?",German
"Ich habe mich gefragt, ob du mir dabei helfen könntest.",German
sicher kein Problem.,German
ja natürlich.,German
Ich würde gerne helfen.,German
"Entschuldigung, ich kann jetzt nicht.",German
"Ich fürchte, ich kann nicht.",German
Angebote machen.,German
Kann ich dir ein Glas Wasser holen?,German
Wie wäre es mit etwas Eis?,German
"Möchten Sie, dass ich Sie nach Hause fahre?",German
ja bitte.,German
"das wäre toll, danke.",German
"Ich bin in Ordnung, aber danke für das Angebot.",German
"Nein, mir geht es gut, danke.",German
Menschen danken.,German
tausend Dank.,German
"Prost, ich weiß es wirklich zu schätzen.",German
Das ist sehr nett von dir.,German
Ich kann dir nicht genug danken.,German
Schon gut.,German
erwähne es nicht.,German
Jederzeit.,German
Gern geschehen.,German
jemanden bitten zu warten.,German
